example_id                                                       | status  | run_time        |
---------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/adg_registrations_controller_spec.rb[1:1:1]   | passed  | 0.02529 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:1:2]   | passed  | 0.03336 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:1:1] | passed  | 0.03785 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:1:2] | passed  | 0.02602 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:2:1] | passed  | 0.03408 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:2:2] | passed  | 0.03235 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:3:1] | passed  | 0.0584 seconds  |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:3:2] | passed  | 0.06582 seconds |
./spec/controllers/adg_registrations_controller_spec.rb[1:2:3:3] | passed  | 0.0869 seconds  |
./spec/controllers/businesses_controller_spec.rb[1:1:1]          | passed  | 0.02248 seconds |
./spec/controllers/businesses_controller_spec.rb[1:1:2]          | passed  | 0.02195 seconds |
./spec/controllers/businesses_controller_spec.rb[1:2:1]          | passed  | 0.03013 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:1]          | passed  | 0.02859 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:2]          | passed  | 0.03096 seconds |
./spec/controllers/businesses_controller_spec.rb[1:3:3]          | passed  | 0.02859 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:1]          | passed  | 0.02816 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:2]          | passed  | 0.02856 seconds |
./spec/controllers/businesses_controller_spec.rb[1:4:3]          | passed  | 0.02657 seconds |
./spec/controllers/businesses_controller_spec.rb[1:5:1]          | passed  | 0.02846 seconds |
./spec/controllers/businesses_controller_spec.rb[1:5:2]          | passed  | 0.02925 seconds |
./spec/controllers/businesses_controller_spec.rb[1:6:1]          | passed  | 0.06216 seconds |
./spec/controllers/businesses_controller_spec.rb[1:7:1]          | passed  | 0.02146 seconds |
./spec/controllers/businesses_controller_spec.rb[1:7:2]          | passed  | 0.02201 seconds |
./spec/controllers/businesses_controller_spec.rb[1:8:1]          | passed  | 0.02627 seconds |
./spec/controllers/businesses_controller_spec.rb[1:9:1]          | passed  | 0.02355 seconds |
./spec/controllers/businesses_controller_spec.rb[1:9:2]          | passed  | 0.02223 seconds |
./spec/controllers/businesses_controller_spec.rb[1:10:1]         | passed  | 0.02531 seconds |
./spec/controllers/businesses_controller_spec.rb[1:11:1]         | passed  | 0.02232 seconds |
./spec/controllers/businesses_controller_spec.rb[1:11:2]         | passed  | 0.02219 seconds |
./spec/controllers/businesses_controller_spec.rb[1:12:1]         | passed  | 0.02533 seconds |
./spec/controllers/exceptions_controller_spec.rb[1:1:1]          | passed  | 0.03876 seconds |
./spec/controllers/exceptions_controller_spec.rb[1:2:1]          | passed  | 0.00942 seconds |
./spec/controllers/exceptions_controller_spec.rb[1:3:1]          | passed  | 0.00836 seconds |
./spec/controllers/radio_archives_controller_spec.rb[1:1]        | passed  | 0.03326 seconds |
./spec/controllers/radio_archives_controller_spec.rb[1:2]        | passed  | 0.03073 seconds |
./spec/controllers/radio_archives_controller_spec.rb[1:3]        | passed  | 0.04741 seconds |
./spec/controllers/redirects_controller_spec.rb[1:1]             | passed  | 0.00212 seconds |
./spec/controllers/redirects_controller_spec.rb[1:2]             | passed  | 0.00166 seconds |
./spec/controllers/site_controller_spec.rb[1:1]                  | passed  | 0.0091 seconds  |
./spec/features/adg_registration_spec.rb[1:1]                    | pending | 3.65 seconds    |
./spec/features/adg_registration_spec.rb[1:2]                    | pending | 0.36609 seconds |
./spec/features/admin/admin_user_spec.rb[1:1]                    | passed  | 0.98096 seconds |
./spec/features/admin/announcements_spec.rb[1:1]                 | passed  | 0.67055 seconds |
./spec/features/admin/announcements_spec.rb[1:2]                 | passed  | 0.80778 seconds |
./spec/features/admin/external_link_spec.rb[1:1]                 | passed  | 0.07286 seconds |
./spec/features/admin/external_link_spec.rb[1:2]                 | passed  | 0.14011 seconds |
./spec/features/admin/external_link_spec.rb[1:3]                 | passed  | 0.1705 seconds  |
./spec/features/admin/preferences_spec.rb[1:1]                   | passed  | 0.08053 seconds |
./spec/features/admin/preferences_spec.rb[1:2]                   | passed  | 0.24402 seconds |
./spec/features/admin/preferences_spec.rb[1:3]                   | passed  | 0.13478 seconds |
./spec/features/admin/sidkiq_ui_spec.rb[1:1]                     | passed  | 0.127 seconds   |
./spec/features/admin/soft_delete_user_spec.rb[1:1]              | passed  | 1.42 seconds    |
./spec/features/admin/users_spec.rb[1:1]                         | passed  | 1.22 seconds    |
./spec/features/admin/users_spec.rb[1:2]                         | passed  | 1.23 seconds    |
./spec/features/admin/users_spec.rb[1:3]                         | passed  | 1.9 seconds     |
./spec/features/admin/users_spec.rb[1:4:1]                       | passed  | 0.81101 seconds |
./spec/features/admin/users_spec.rb[1:5]                         | passed  | 0.71909 seconds |
./spec/features/admin/users_spec.rb[1:6]                         | passed  | 1.03 seconds    |
./spec/features/admin/users_spec.rb[1:7]                         | passed  | 1.91 seconds    |
